name,class,chromosome,position_hg38,bin,source,doi
bg_0088,background,chr1,130010500,130010,uniform random atlas bin (seed 20260702),
bg_0089,background,chr1,130852500,130852,uniform random atlas bin (seed 20260702),
bg_0090,background,chr1,131831500,131831,uniform random atlas bin (seed 20260702),
bg_0091,background,chr1,133009500,133009,uniform random atlas bin (seed 20260702),
bg_0092,background,chr1,133064500,133064,uniform random atlas bin (seed 20260702),
bg_0093,background,chr1,133285500,133285,uniform random atlas bin (seed 20260702),
bg_0094,background,chr1,136312500,136312,uniform random atlas bin (seed 20260702),
bg_0095,background,chr1,136477500,136477,uniform random atlas bin (seed 20260702),
bg_0096,background,chr1,136627500,136627,uniform random atlas bin (seed 20260702),
bg_0097,background,chr1,136796500,136796,uniform random atlas bin (seed 20260702),
bg_0098,background,chr1,138328500,138328,uniform random atlas bin (seed 20260702),
bg_0099,background,chr1,138775500,138775,uniform random atlas bin (seed 20260702),
bg_0100,background,chr1,139691500,139691,uniform random atlas bin (seed 20260702),
bg_0101,background,chr1,142984500,142984,uniform random atlas bin (seed 20260702),
bg_0102,background,chr1,145070500,145070,uniform random atlas bin (seed 20260702),
bg_0103,background,chr1,146808500,146808,uniform random atlas bin (seed 20260702),
bg_0104,background,chr1,146987500,146987,uniform random atlas bin (seed 20260702),
bg_0105,background,chr1,148642500,148642,uniform random atlas bin (seed 20260702),
bg_0106,background,chr1,151074500,151074,uniform random atlas bin (seed 20260702),
bg_0107,background,chr1,151883500,151883,uniform random atlas bin (seed 20260702),
bg_0108,background,chr1,153972500,153972,uniform random atlas bin (seed 20260702),
bg_0109,background,chr1,154128500,154128,uniform random atlas bin (seed 20260702),
bg_0110,background,chr1,155476500,155476,uniform random atlas bin (seed 20260702),
bg_0111,background,chr1,155555500,155555,uniform random atlas bin (seed 20260702),
bg_0112,background,chr1,159890500,159890,uniform random atlas bin (seed 20260702),
bg_0113,background,chr1,160814500,160814,uniform random atlas bin (seed 20260702),
bg_0114,background,chr1,161048500,161048,uniform random atlas bin (seed 20260702),
bg_0115,background,chr1,162725500,162725,uniform random atlas bin (seed 20260702),
bg_0116,background,chr1,163978500,163978,uniform random atlas bin (seed 20260702),
bg_0117,background,chr1,166532500,166532,uniform random atlas bin (seed 20260702),
bg_0118,background,chr1,167437500,167437,uniform random atlas bin (seed 20260702),
bg_0119,background,chr1,167820500,167820,uniform random atlas bin (seed 20260702),
bg_0120,background,chr1,168814500,168814,uniform random atlas bin (seed 20260702),
bg_0121,background,chr1,169699500,169699,uniform random atlas bin (seed 20260702),
bg_0122,background,chr1,173094500,173094,uniform random atlas bin (seed 20260702),
bg_0123,background,chr1,177174500,177174,uniform random atlas bin (seed 20260702),
bg_0124,background,chr1,178057500,178057,uniform random atlas bin (seed 20260702),
bg_0125,background,chr1,178225500,178225,uniform random atlas bin (seed 20260702),
bg_0126,background,chr1,179094500,179094,uniform random atlas bin (seed 20260702),
bg_0127,background,chr1,179388500,179388,uniform random atlas bin (seed 20260702),
bg_0128,background,chr1,179846500,179846,uniform random atlas bin (seed 20260702),
bg_0129,background,chr1,180367500,180367,uniform random atlas bin (seed 20260702),
bg_0130,background,chr1,181125500,181125,uniform random atlas bin (seed 20260702),
bg_0131,background,chr1,182687500,182687,uniform random atlas bin (seed 20260702),
bg_0132,background,chr1,184279500,184279,uniform random atlas bin (seed 20260702),
bg_0133,background,chr1,184577500,184577,uniform random atlas bin (seed 20260702),
bg_0134,background,chr1,185478500,185478,uniform random atlas bin (seed 20260702),
bg_0135,background,chr1,188001500,188001,uniform random atlas bin (seed 20260702),
bg_0136,background,chr1,189528500,189528,uniform random atlas bin (seed 20260702),
bg_0137,background,chr1,190141500,190141,uniform random atlas bin (seed 20260702),
bg_0138,background,chr1,191389500,191389,uniform random atlas bin (seed 20260702),
bg_0139,background,chr1,192551500,192551,uniform random atlas bin (seed 20260702),
bg_0140,background,chr1,193003500,193003,uniform random atlas bin (seed 20260702),
bg_0141,background,chr1,194395500,194395,uniform random atlas bin (seed 20260702),
bg_0142,background,chr1,194624500,194624,uniform random atlas bin (seed 20260702),
bg_0143,background,chr1,195439500,195439,uniform random atlas bin (seed 20260702),
bg_0144,background,chr1,196110500,196110,uniform random atlas bin (seed 20260702),
bg_0145,background,chr1,197082500,197082,uniform random atlas bin (seed 20260702),
bg_0146,background,chr1,198020500,198020,uniform random atlas bin (seed 20260702),
bg_0147,background,chr1,199127500,199127,uniform random atlas bin (seed 20260702),
bg_0148,background,chr1,199355500,199355,uniform random atlas bin (seed 20260702),
bg_0149,background,chr1,199510500,199510,uniform random atlas bin (seed 20260702),
bg_0150,background,chr1,200974500,200974,uniform random atlas bin (seed 20260702),
bg_0151,background,chr1,203022500,203022,uniform random atlas bin (seed 20260702),
bg_0152,background,chr1,206710500,206710,uniform random atlas bin (seed 20260702),
bg_0153,background,chr1,207096500,207096,uniform random atlas bin (seed 20260702),
bg_0154,background,chr1,208854500,208854,uniform random atlas bin (seed 20260702),
bg_0155,background,chr1,208873500,208873,uniform random atlas bin (seed 20260702),
bg_0156,background,chr1,209339500,209339,uniform random atlas bin (seed 20260702),
bg_0157,background,chr1,211182500,211182,uniform random atlas bin (seed 20260702),
bg_0158,background,chr1,212013500,212013,uniform random atlas bin (seed 20260702),
bg_0159,background,chr1,212410500,212410,uniform random atlas bin (seed 20260702),
bg_0160,background,chr1,213607500,213607,uniform random atlas bin (seed 20260702),
bg_0161,background,chr1,214301500,214301,uniform random atlas bin (seed 20260702),
bg_0162,background,chr1,215761500,215761,uniform random atlas bin (seed 20260702),
bg_0163,background,chr1,219791500,219791,uniform random atlas bin (seed 20260702),
bg_0164,background,chr1,219799500,219799,uniform random atlas bin (seed 20260702),
bg_0165,background,chr1,220505500,220505,uniform random atlas bin (seed 20260702),
bg_0166,background,chr1,220698500,220698,uniform random atlas bin (seed 20260702),
bg_0167,background,chr1,221536500,221536,uniform random atlas bin (seed 20260702),
bg_0168,background,chr1,221637500,221637,uniform random atlas bin (seed 20260702),
bg_0169,background,chr1,222173500,222173,uniform random atlas bin (seed 20260702),
bg_0170,background,chr1,228004500,228004,uniform random atlas bin (seed 20260702),
bg_0171,background,chr1,228279500,228279,uniform random atlas bin (seed 20260702),
bg_0172,background,chr1,228384500,228384,uniform random atlas bin (seed 20260702),
bg_0173,background,chr1,229480500,229480,uniform random atlas bin (seed 20260702),
bg_0174,background,chr1,232256500,232256,uniform random atlas bin (seed 20260702),
bg_0175,background,chr1,234172500,234172,uniform random atlas bin (seed 20260702),
bg_0176,background,chr1,234797500,234797,uniform random atlas bin (seed 20260702),
bg_0177,background,chr1,236609500,236609,uniform random atlas bin (seed 20260702),
bg_0178,background,chr1,236999500,236999,uniform random atlas bin (seed 20260702),
bg_0179,background,chr1,237538500,237538,uniform random atlas bin (seed 20260702),
bg_0180,background,chr1,238339500,238339,uniform random atlas bin (seed 20260702),
bg_0181,background,chr1,239302500,239302,uniform random atlas bin (seed 20260702),
bg_0182,background,chr1,240837500,240837,uniform random atlas bin (seed 20260702),
bg_0183,background,chr1,242254500,242254,uniform random atlas bin (seed 20260702),
bg_0184,background,chr1,244712500,244712,uniform random atlas bin (seed 20260702),
bg_0185,background,chr2,1749500,1749,uniform random atlas bin (seed 20260702),
bg_0186,background,chr2,2692500,2692,uniform random atlas bin (seed 20260702),
bg_0187,background,chr2,3742500,3742,uniform random atlas bin (seed 20260702),
bg_0188,background,chr2,7528500,7528,uniform random atlas bin (seed 20260702),
bg_0189,background,chr2,10971500,10971,uniform random atlas bin (seed 20260702),
bg_0190,background,chr2,12735500,12735,uniform random atlas bin (seed 20260702),
bg_0191,background,chr2,13474500,13474,uniform random atlas bin (seed 20260702),
bg_0192,background,chr2,14435500,14435,uniform random atlas bin (seed 20260702),
bg_0193,background,chr2,15805500,15805,uniform random atlas bin (seed 20260702),
bg_0194,background,chr2,17365500,17365,uniform random atlas bin (seed 20260702),
bg_0195,background,chr2,19212500,19212,uniform random atlas bin (seed 20260702),
bg_0196,background,chr2,26140500,26140,uniform random atlas bin (seed 20260702),
bg_0197,background,chr2,28066500,28066,uniform random atlas bin (seed 20260702),
bg_0198,background,chr2,29851500,29851,uniform random atlas bin (seed 20260702),
bg_0199,background,chr2,31014500,31014,uniform random atlas bin (seed 20260702),
bg_0200,background,chr2,32415500,32415,uniform random atlas bin (seed 20260702),
bg_0201,background,chr2,33306500,33306,uniform random atlas bin (seed 20260702),
bg_0202,background,chr2,35658500,35658,uniform random atlas bin (seed 20260702),
bg_0203,background,chr2,38887500,38887,uniform random atlas bin (seed 20260702),
bg_0204,background,chr2,40101500,40101,uniform random atlas bin (seed 20260702),
bg_0205,background,chr2,42250500,42250,uniform random atlas bin (seed 20260702),
bg_0206,background,chr2,43603500,43603,uniform random atlas bin (seed 20260702),
bg_0207,background,chr2,45511500,45511,uniform random atlas bin (seed 20260702),
bg_0208,background,chr2,47434500,47434,uniform random atlas bin (seed 20260702),
bg_0209,background,chr2,50642500,50642,uniform random atlas bin (seed 20260702),
bg_0210,background,chr2,52725500,52725,uniform random atlas bin (seed 20260702),
bg_0211,background,chr2,53044500,53044,uniform random atlas bin (seed 20260702),
bg_0212,background,chr2,58272500,58272,uniform random atlas bin (seed 20260702),
bg_0213,background,chr2,63289500,63289,uniform random atlas bin (seed 20260702),
bg_0214,background,chr2,64667500,64667,uniform random atlas bin (seed 20260702),
bg_0215,background,chr2,65046500,65046,uniform random atlas bin (seed 20260702),
bg_0216,background,chr2,65989500,65989,uniform random atlas bin (seed 20260702),
bg_0217,background,chr2,66099500,66099,uniform random atlas bin (seed 20260702),
bg_0218,background,chr2,66505500,66505,uniform random atlas bin (seed 20260702),
bg_0219,background,chr2,66997500,66997,uniform random atlas bin (seed 20260702),
bg_0220,background,chr2,68284500,68284,uniform random atlas bin (seed 20260702),
bg_0221,background,chr2,69615500,69615,uniform random atlas bin (seed 20260702),
bg_0222,background,chr2,70124500,70124,uniform random atlas bin (seed 20260702),
bg_0223,background,chr2,70233500,70233,uniform random atlas bin (seed 20260702),
bg_0224,background,chr2,70976500,70976,uniform random atlas bin (seed 20260702),
bg_0225,background,chr2,72006500,72006,uniform random atlas bin (seed 20260702),
bg_0226,background,chr2,72321500,72321,uniform random atlas bin (seed 20260702),
bg_0227,background,chr2,73391500,73391,uniform random atlas bin (seed 20260702),
bg_0228,background,chr2,73698500,73698,uniform random atlas bin (seed 20260702),
bg_0229,background,chr2,74254500,74254,uniform random atlas bin (seed 20260702),
bg_0230,background,chr2,74403500,74403,uniform random atlas bin (seed 20260702),
bg_0231,background,chr2,74601500,74601,uniform random atlas bin (seed 20260702),
bg_0232,background,chr2,79568500,79568,uniform random atlas bin (seed 20260702),
bg_0233,background,chr2,80534500,80534,uniform random atlas bin (seed 20260702),
bg_0234,background,chr2,81134500,81134,uniform random atlas bin (seed 20260702),
bg_0235,background,chr2,81815500,81815,uniform random atlas bin (seed 20260702),
bg_0236,background,chr2,82846500,82846,uniform random atlas bin (seed 20260702),
bg_0237,background,chr2,83634500,83634,uniform random atlas bin (seed 20260702),
bg_0238,background,chr2,84590500,84590,uniform random atlas bin (seed 20260702),
bg_0239,background,chr2,88125500,88125,uniform random atlas bin (seed 20260702),
bg_0240,background,chr2,89399500,89399,uniform random atlas bin (seed 20260702),
bg_0241,background,chr2,89451500,89451,uniform random atlas bin (seed 20260702),
bg_0242,background,chr2,90486500,90486,uniform random atlas bin (seed 20260702),
bg_0243,background,chr2,91977500,91977,uniform random atlas bin (seed 20260702),
bg_0244,background,chr2,92600500,92600,uniform random atlas bin (seed 20260702),
bg_0245,background,chr2,93947500,93947,uniform random atlas bin (seed 20260702),
bg_0246,background,chr2,95080500,95080,uniform random atlas bin (seed 20260702),
bg_0247,background,chr2,95296500,95296,uniform random atlas bin (seed 20260702),
bg_0248,background,chr2,95638500,95638,uniform random atlas bin (seed 20260702),
bg_0249,background,chr2,95698500,95698,uniform random atlas bin (seed 20260702),
bg_0250,background,chr2,96199500,96199,uniform random atlas bin (seed 20260702),
bg_0251,background,chr2,97492500,97492,uniform random atlas bin (seed 20260702),
bg_0252,background,chr2,97858500,97858,uniform random atlas bin (seed 20260702),
bg_0253,background,chr2,98731500,98731,uniform random atlas bin (seed 20260702),
bg_0254,background,chr2,98874500,98874,uniform random atlas bin (seed 20260702),
bg_0255,background,chr2,101926500,101926,uniform random atlas bin (seed 20260702),
bg_0256,background,chr2,102953500,102953,uniform random atlas bin (seed 20260702),
bg_0257,background,chr2,105211500,105211,uniform random atlas bin (seed 20260702),
bg_0258,background,chr2,108491500,108491,uniform random atlas bin (seed 20260702),
bg_0259,background,chr2,110703500,110703,uniform random atlas bin (seed 20260702),
bg_0260,background,chr2,111877500,111877,uniform random atlas bin (seed 20260702),
bg_0261,background,chr2,118985500,118985,uniform random atlas bin (seed 20260702),
bg_0262,background,chr2,119246500,119246,uniform random atlas bin (seed 20260702),
bg_0263,background,chr2,122261500,122261,uniform random atlas bin (seed 20260702),
bg_0264,background,chr2,124307500,124307,uniform random atlas bin (seed 20260702),
bg_0265,background,chr2,128160500,128160,uniform random atlas bin (seed 20260702),
bg_0266,background,chr2,128985500,128985,uniform random atlas bin (seed 20260702),
bg_0267,background,chr2,130715500,130715,uniform random atlas bin (seed 20260702),
bg_0268,background,chr2,131085500,131085,uniform random atlas bin (seed 20260702),
bg_0269,background,chr2,131936500,131936,uniform random atlas bin (seed 20260702),
bg_0270,background,chr2,132446500,132446,uniform random atlas bin (seed 20260702),
bg_0271,background,chr2,132828500,132828,uniform random atlas bin (seed 20260702),
bg_0272,background,chr2,135484500,135484,uniform random atlas bin (seed 20260702),
bg_0273,background,chr2,135930500,135930,uniform random atlas bin (seed 20260702),
bg_0274,background,chr2,139481500,139481,uniform random atlas bin (seed 20260702),
bg_0275,background,chr2,141946500,141946,uniform random atlas bin (seed 20260702),
bg_0276,background,chr2,143390500,143390,uniform random atlas bin (seed 20260702),
bg_0277,background,chr2,144909500,144909,uniform random atlas bin (seed 20260702),
bg_0278,background,chr2,145200500,145200,uniform random atlas bin (seed 20260702),
bg_0279,background,chr2,145698500,145698,uniform random atlas bin (seed 20260702),
bg_0280,background,chr2,147356500,147356,uniform random atlas bin (seed 20260702),
bg_0281,background,chr2,148672500,148672,uniform random atlas bin (seed 20260702),
bg_0282,background,chr2,148917500,148917,uniform random atlas bin (seed 20260702),
bg_0283,background,chr2,154139500,154139,uniform random atlas bin (seed 20260702),
bg_0284,background,chr2,154753500,154753,uniform random atlas bin (seed 20260702),
bg_0285,background,chr2,155632500,155632,uniform random atlas bin (seed 20260702),
bg_0286,background,chr2,156977500,156977,uniform random atlas bin (seed 20260702),
bg_0287,background,chr2,157371500,157371,uniform random atlas bin (seed 20260702),
bg_0288,background,chr2,158969500,158969,uniform random atlas bin (seed 20260702),
bg_0289,background,chr2,160905500,160905,uniform random atlas bin (seed 20260702),
bg_0290,background,chr2,160998500,160998,uniform random atlas bin (seed 20260702),
bg_0291,background,chr2,161107500,161107,uniform random atlas bin (seed 20260702),
bg_0292,background,chr2,165033500,165033,uniform random atlas bin (seed 20260702),
bg_0293,background,chr2,166690500,166690,uniform random atlas bin (seed 20260702),
bg_0294,background,chr2,170146500,170146,uniform random atlas bin (seed 20260702),
bg_0295,background,chr2,173483500,173483,uniform random atlas bin (seed 20260702),
bg_0296,background,chr2,174997500,174997,uniform random atlas bin (seed 20260702),
bg_0297,background,chr2,177015500,177015,uniform random atlas bin (seed 20260702),
bg_0298,background,chr2,177350500,177350,uniform random atlas bin (seed 20260702),
bg_0299,background,chr2,178281500,178281,uniform random atlas bin (seed 20260702),
bg_0300,background,chr2,179845500,179845,uniform random atlas bin (seed 20260702),
bg_0301,background,chr2,180415500,180415,uniform random atlas bin (seed 20260702),
bg_0302,background,chr2,181038500,181038,uniform random atlas bin (seed 20260702),
bg_0303,background,chr2,181405500,181405,uniform random atlas bin (seed 20260702),
bg_0304,background,chr2,182722500,182722,uniform random atlas bin (seed 20260702),
bg_0305,background,chr2,182772500,182772,uniform random atlas bin (seed 20260702),
bg_0306,background,chr2,183870500,183870,uniform random atlas bin (seed 20260702),
bg_0307,background,chr2,194153500,194153,uniform random atlas bin (seed 20260702),
bg_0308,background,chr2,195909500,195909,uniform random atlas bin (seed 20260702),
bg_0309,background,chr2,197294500,197294,uniform random atlas bin (seed 20260702),
bg_0310,background,chr2,197812500,197812,uniform random atlas bin (seed 20260702),
bg_0311,background,chr2,197981500,197981,uniform random atlas bin (seed 20260702),
bg_0312,background,chr2,198017500,198017,uniform random atlas bin (seed 20260702),
bg_0313,background,chr2,203180500,203180,uniform random atlas bin (seed 20260702),
bg_0314,background,chr2,203741500,203741,uniform random atlas bin (seed 20260702),
bg_0315,background,chr2,204018500,204018,uniform random atlas bin (seed 20260702),
bg_0316,background,chr2,205835500,205835,uniform random atlas bin (seed 20260702),
bg_0317,background,chr2,206661500,206661,uniform random atlas bin (seed 20260702),
bg_0318,background,chr2,207149500,207149,uniform random atlas bin (seed 20260702),
bg_0319,background,chr2,207373500,207373,uniform random atlas bin (seed 20260702),
bg_0320,background,chr2,207912500,207912,uniform random atlas bin (seed 20260702),
bg_0321,background,chr2,210708500,210708,uniform random atlas bin (seed 20260702),
bg_0322,background,chr2,210792500,210792,uniform random atlas bin (seed 20260702),
bg_0323,background,chr2,215864500,215864,uniform random atlas bin (seed 20260702),
bg_0324,background,chr2,217398500,217398,uniform random atlas bin (seed 20260702),
bg_0325,background,chr2,222972500,222972,uniform random atlas bin (seed 20260702),
bg_0326,background,chr2,223416500,223416,uniform random atlas bin (seed 20260702),
bg_0327,background,chr2,225304500,225304,uniform random atlas bin (seed 20260702),
bg_0328,background,chr2,227179500,227179,uniform random atlas bin (seed 20260702),
bg_0329,background,chr2,227658500,227658,uniform random atlas bin (seed 20260702),
bg_0330,background,chr2,230281500,230281,uniform random atlas bin (seed 20260702),
bg_0331,background,chr2,230922500,230922,uniform random atlas bin (seed 20260702),
bg_0332,background,chr2,231934500,231934,uniform random atlas bin (seed 20260702),
bg_0333,background,chr2,232591500,232591,uniform random atlas bin (seed 20260702),
bg_0334,background,chr2,233556500,233556,uniform random atlas bin (seed 20260702),
bg_0335,background,chr2,234015500,234015,uniform random atlas bin (seed 20260702),
bg_0336,background,chr2,234605500,234605,uniform random atlas bin (seed 20260702),
bg_0337,background,chr2,236545500,236545,uniform random atlas bin (seed 20260702),
bg_0338,background,chr2,237763500,237763,uniform random atlas bin (seed 20260702),
bg_0339,background,chr2,238818500,238818,uniform random atlas bin (seed 20260702),
bg_0340,background,chr2,239790500,239790,uniform random atlas bin (seed 20260702),
bg_0341,background,chr2,241051500,241051,uniform random atlas bin (seed 20260702),
bg_0342,background,chr3,2784500,2784,uniform random atlas bin (seed 20260702),
bg_0343,background,chr3,5944500,5944,uniform random atlas bin (seed 20260702),
bg_0344,background,chr3,7474500,7474,uniform random atlas bin (seed 20260702),
bg_0345,background,chr3,7984500,7984,uniform random atlas bin (seed 20260702),
bg_0346,background,chr3,8176500,8176,uniform random atlas bin (seed 20260702),
bg_0347,background,chr3,8234500,8234,uniform random atlas bin (seed 20260702),
bg_0348,background,chr3,8759500,8759,uniform random atlas bin (seed 20260702),
bg_0349,background,chr3,9827500,9827,uniform random atlas bin (seed 20260702),
bg_0350,background,chr3,10115500,10115,uniform random atlas bin (seed 20260702),
bg_0351,background,chr3,12729500,12729,uniform random atlas bin (seed 20260702),
bg_0352,background,chr3,12808500,12808,uniform random atlas bin (seed 20260702),
bg_0353,background,chr3,12925500,12925,uniform random atlas bin (seed 20260702),
bg_0354,background,chr3,15373500,15373,uniform random atlas bin (seed 20260702),
bg_0355,background,chr3,15912500,15912,uniform random atlas bin (seed 20260702),
bg_0356,background,chr3,17993500,17993,uniform random atlas bin (seed 20260702),
bg_0357,background,chr3,18262500,18262,uniform random atlas bin (seed 20260702),
bg_0358,background,chr3,18422500,18422,uniform random atlas bin (seed 20260702),
bg_0359,background,chr3,19061500,19061,uniform random atlas bin (seed 20260702),
